title	body	date	rating
Worst piece of junk software ever	For applications that have stooped so far down to the bottom, there should be an option to give ZERO or NEGATIVE stars. Where to begin with this piece of absolute junk. Everything in it, has problems. You can't even copy text rom the chat and paste it correctly. The chat window is too small and you cannot resize it, when you have the call view open. It misscalls contact, if you are typing on one chat and a incoming call occurs, the next key that you tap, will answer the call, weher you like it or not. There's no configuration options. The only thing missing from the latest release would be an even uglier UI design and some kind of heavy adware. This would make it the perfect all time candidate on how not to do software. The notifications sounds do not work. The sound quality and general call quality, which ought to be the CORE and MOST IMPORTANT feature are the same or worse. And many others issues that I just cannot be bothered to write. What was so wrong ith the previous version Microsoft, that could not be fixed?And, if you had to make it all from scratch, which is fine if done right, why would you choose to release such a mediocre product, long before it is even as good as the previous version? Why?	2018-02-05	1
Over the last 4 days I have tried in …	Over the last 4 days I have tried in various ways to contact Skype support and their owners Microsoft for an explanation as to why Skype is not working as it used to . The lack of urgent response is totally unacceptable and unprofessional.	2018-02-05	1
My reply to Skype after a frustrating …	My reply to Skype after a frustrating hour tying to log into my account and going round in circles.  I am so angry I have been using Skype for years and now problems. I can't begin to explained all the trouble I am having just loging into my account So please donate the remainder of my Skype credit to charity I have had enough !Since Microsoft has taken over it has been an absolute nightmare to use.	2018-02-03	1
Off line for maintenance	Off line for maintenance, really!! what happened to five nines?	2018-02-01	1
Poor Services!!!!!!!!	Decided to write a review for skype, why skype is unreliable these past few weeks? I am not able to receive LOTS OF IMPORTANT MESSAGES, at first I thought my contacts were just away or just busy doing stuffs, until they message me on viber that they receive my messages and they answer back, but unfortunately, it's not going through my skype, you what, I mess a lot in my work last week because of this unreliable app, now my team will decide to change our communication app to much more reliable, maybe team viewer will be the option for now.!	2018-01-29	1
Latest Skype does not work	Latest Skype does not work, and their service is non existent. Have written them 12 times in under 3 weeks, and they never reply in any form I believe I will be forced to go to Apple's Facetime as they have superb service, compared to MS. Like to think they would read this but doubt they willDr. J.R.Prescott  UK	2018-01-26	1
I have lost my account and have no idea …	I have lost my account and have no idea why	2018-01-23	1
Refusal to issue credit refund	I just found out that skype will only refund credits bought within 14 days of purchase. Is this legal? In California gift cards purchased (basically advance credit) can't legally expire, so how does skype get away with keeping money you paid them for credit which hasn't been used? Regarding another issue, in attempting to reach a skype representative through their online chat feature, I waited for over 50 minutes as I was informed there was heavy volume, but I was still in line to reach an agent. When an agent finally came online, I was told they could not help me because a system update was in progress. Anybody who knows anything about computer systems realizes they could have generated a message explaining that the system update was in progress and for customers to try again later, but, instead, their failure to implement a simple solution kept dozens of customers waiting, collectively, for hours. What's worse is that in chatting with a supervisor the next day, he didn't know enough to realize this and dismissed my suggestion, saying I didn't understand their system. Terrible customer service!	2018-01-22	1
DISASTER:  After using Skype since Day 1	"After using Skype since Day 1, I will be forced to leave the service - after having been a paying subscription business user.  At least on my laptop version [the latest], there is no ""menu bar"" and no sign whatsoever of basic features like setting voicemail, checking connection speed - much less proactive blocking of users nor being able to sue the dialpad during calls - essential for long distance teleprompts.  Instead, this is essentially a TOY and the customer ""support"" is simply classic Microsoft arrogance."	2018-01-18	1
Micro Soft ruined Skype	In all fairness, I am not a fan of Microsoft, so my review may be somewhat slanted. True to their modus operendi, Microsoft screwed up Skype. Skyoe used to be a very intuitive application to use. Since MS took over, it is more complicated and a mess in the sense that it simply doens't work. Microsoft- get your stuff together. Then again, I don't carewhat MS does- I will no longer be using Skype.	2018-01-16	1
This is the worst version of Skype …	This is the worst version of Skype ever.Hard to manage, poor menu's horrible connection problems.We rely on this for business and communication across the world, it has become a disaster!If WhatsAp had a complete desktop version Skype would be dead!	2018-01-14	1
New skype is total garbage	New skype is total garbage; UX/UI designers should be fired. So screwed contacts? Fok ju, Im out with all my family. Bye	2018-01-13	1
Microsoft should be ashamed of this …	Microsoft should be ashamed of this version, it's just awful.	2018-01-13	1
It became less reliable and …	It became less reliable and user-friendly then it was before, definitely. Though still good to use as a free chat with those insisting on using skype, and for calls from time to time.	2018-01-12	3
Skype is awful	Skype is awful.  What did they do.  None of my contacts show when they are on line.	2018-01-12	1
The latest update is pants	The latest update is pants. The GUI is confusing and not easy to use. Lost all my contacts blah blah. The previous version was fine, if it aint broke why fix it?	2018-01-10	1
What happened	"What happened? Suddenly calls keep dropping. I can't have multiple chat windows open. The window on my desktop takes up half the screen for no particular reason. When a call is coming in, the ringtone comes out of my desktop speakers even though the audio is set for the headset.  And that's on the PC. I'm guessing that my voice calls will continue to be put on perpetual hold on the iphone every time an alarm goes off. I have been a paying customer for years. Now contemplating the annoying project of finding a replacement that gives me back seamless service delivery. Luckily I am still able to download ""classic skype"" - wonder how long this will last! On the last Win10 update, it automatically replaced ""classic skype"" with ""newCrapSkype"" and I had to go find the download again at skype.com /get-skype"	2018-01-10	1
Rubbish	Rubbish, it is not even worth 1 star. The UI is taking too much empty space. I can't open multiple chats at the same time. And people can't see me online. Perfect way to kill a good product, unbelievable.	2018-01-10	1
Worst Skype ever	Worst Skype ever, so not clear, why are we changing something good into this?	2018-01-09	1
why can't I give no stars	why can't I give no stars	2018-01-08	1
What happened to the menus?	What happened to the menus?, what about the entire list of contacts? The last update is awful .	2018-01-08	1
For the history that Skype has created …	For the history that Skype has created as one of the best (if not the best) communication software  the latest updates -I guess after Microsoft took over- the product is in huge decline. I am considering dropping it as I and my family are using it less and less everyday. This is a heads up Microsoft, take your head out of the bucket and look around. Hire some quality engineers instead of cheap ones that you think are talented, -obviously they are not- and your recruitment process should be reconsidered.	2018-01-08	1
The new Skype is terrible	The new Skype is absolute useless !!!This new interface make absolutely no sense.Who designed it? He/She was drunk?So nice program at the beginning became piece of crap...	2018-01-05	1
Piece of ..	Piece of ... You get it :)	2018-01-03	1
Skype used to be very good and easy to …	Skype used to be very good and easy to use. since Microsoft bought it, i is not the most useless program every. we tried over several hours to get something useful from it but gave up.it is simply not usable any more, so we are looking for an alternative.	2018-01-01	1
Best downgrade ever	Skype call it an Upgrade, We call it the best Downgrade ever !!!Don't understand why Microsoft are using idiots.	2018-01-01	1
How is it possible to take a perfectly …	How is it possible to take a perfectly good app as Skype originally was and turn it into an utterly useless piece of Tecnocrap? It take  Cretans in Microsoft thats how . What a pity ,can anyone recommend an alternative that has not been anywhere the Micros****t corporation ?	2018-01-01	1
Horrible	Horrible - just take something that works, bash it with a hammer, and then add cutesy colors and squiggles.  Absolute garbage release.	2017-12-29	1
Just don't use it...	Just don't use it...Every update you must search you contacts again. IT WON'T RECOVER!	2017-12-23	1
Skype has been terrible since the new updates	Skype has been terrible since the new Microsoft versions. New app look/feel is horrible on iPhone. Chats cannot be properly backed up. My contacts not logging in anymore preferring to use other chat/call services.WhatsApp, iMessage and many others are better choices for the future. The only reason I’m still using it because I have credits in my account to use up.	2017-12-22	1
The new skype is absolute horse $h!t !!!	The new skype is absolute horse $h!t !!!This new interface make absolutely no sense. This is the worst move since microsoft as bought skype.It is as if every company in the silicon valley as gone FULL RET ARD !	2017-12-22	1
I give the new Skype -5 stars	I give the new Skype -5 stars. Now I have lost all the contacts I had and the connection is HORRIBLE. I have been a faithful skype client for 10 years. I now use facetime because Skype is just a bad product, it freezes, delays sound, cuts out often and drops calls. Old Skype was much better.	2017-12-21	1
Speechless!	"If only I could give a minus star! This has to be the worst ever ""up-grade"" ever. Who came up with the brainwave to take away all the useful functionality and instead add childish gimmicks. I'm sure Microsoft had their top team working on this up-grade! Lets stop, take a breath, be brave and go back to the old version .... ""if it ain't broke, don't fix it"" .... Words fail me."	2017-12-21	1
It is slow and inconvenient in our days …	It is slow and inconvenient in our days when we have such superior chats as Whatsapp and Messenger. Even Snapchat works better.	2017-12-14	4
Skype was one of the most convenient …	Skype was one of the most convenient chats, but facebook messenger, whats app and even Viber became better. I am not using it anymore and I give 4 stars only because of some sentiments.	2017-12-13	4
disrespectful update	we have been using skype to conduct business across 46 countries for the last 12 years, it was a very important tool for our company.The new version is a childish tool that removes the simplicity of use and ergonomics of the tool. It reflects such a lack of respect for clients that we are looking at alternatives, even those we'll have to pay for.I will gladly pay not to use such crapware.	2017-12-11	1
Skype's latest update is appalling and …	Skype's latest update is appalling and has no redeeming features ( unless you are 5 years old and like emojis)! Previously useful functions have simply been dispensed with. Sort yourselves out Skype or people will migrate to other services.	2017-12-11	1
I have always hated Microsoft and now I hate them even more	WORST UPDATE EVER........I have used Skype for over 15 years for business communication and overseas voip telephony, but since Microsoft took over they have absolutely killed everything. Why on earth anyone would think it was a good idea to remove all the existing critical functionality and replace it with childish gimmicks like a colourful interface is beyond me. I can't even access the contact list on my mobile phone anymore. Instead have to search for the contact, then copy and paste the phone number over to Skype application to make a call. It's a fricken voip telephone service...what possessed you to unlink the contact list?? Seriously?? No words!! I never take the time to write reviews, but I guess I'm really hoping someone at Microsoft is listening. To put it as nicely as possible, you've basically taken a perfectly good, feature rich product and turned it into a colourful featureless piece of rubbish (I wanted to use a much harsher four letter word). Good work!!!	2017-12-08	1
Horrible new update - Skype ruins business customers	this is impossible. It used to be a tool for business calls and chats. Now it looks like Facebook chat. Makes me sick. An absolutely horrible update which I was forced to install because the old version refused to run on my Macbook and required an update. Sucks big time.	2017-12-05	1
Skype 8 is a clunky piece of junk	Since Microsoft took over this company they have totally screwed the product up.Skype 8 is a piece of junk, crap interface, impossible to search conversations, find files, etc. Its full of stupid animations.The app is also total junk like most MS products, their interface designers are shocking, its the most un-intuitive  interface I've seen in 5 years.Absolute junk. Hope Apple make a product soon and I'd pay for it.	2017-12-01	1
What BS	What BS. I have to click like 50 times to cancel a subscription. Rubbish	2017-11-24	1
I would give 0 stars if I could	"I would give 0 stars if I could. I was a Skype user for more than 10 years, until I was locked out of my account, simply because I got a new laptop and my old one was dead, so I couldn't access the account through that.  I had not forgotten my password, but didn't have access to the old email I had used when I originally signed up. I was send through an incredibly cumbersome verification process, asking for information from when I first signed up, as I said more than 10 years ago.  I provided credit card and payment info that  was correct and my security word.  I did this on my own at least 3 times and was denied access every time.   I finally chatted with someone from the support team for almost 1.5 hours and it was an absolutely horrible experience and complete waste of my time.  I was asked to do the same thing over and over again to recover my account, even though I explained from the start that I had tried that multiple times.  It never worked and the guy didn't try to find any other way of solving the issue, just saying it can't be done.  I have a balance on the account and he would not even give me a refund.  My money is basically being stolen.  The account recovery process is completely ridiculous, asking for information from more than 10 years ago and security words being ""not enough"". According the to the guy I chatted with, there is no way to send me a recovery link, besides through that process.  It's hard to believe a technology company has no real way to troubleshoot a technical problem.  Skype obviously doesn't care about a customer who had used the service for more than 10 years and paid hundreds of dollars in that period. This is completely unacceptable."	2017-11-17	1
Accessing my Skype account is a massive …	"Accessing my Skype account is a massive problem. Since Microsoft has taken over Skype when I attempt to log in it requires a stack of information about the account which includes credit card details for a monthly invoice from Microsoft in connection with another product and then denies that I have ""proven my identity"" and excludes me from my Skpe account.  Customer unfriendly doesn't begin to describe it."	2017-11-17	1
Unstable	"Unstable, locked out linux 32 bit customers, web skype always overloaded, delays in message delivery. Not recommended anymore.""Good Job"", microsoft."	2017-11-16	1
I do not like the new skype if I could …	I do not like the new skype if I could give a negative rating I would!Where are the tools to share screen, etc.	2017-11-10	1
Useless now.	Useless now.I have used Skype for years with no problems for my paid calls. recently it has become a nightmare.I am unable to access my account with funds in it. I am able to input my Skype username and my password (which takes 2 attempts with the correct password...the first attempt never works). I then get another page which says to enter my MS account. Then says.......outlook dot ie isn't in our system. Make sure you typed your email address correctly. It usually looks like outlook.dot comMy account IS the .ie. I DO NOT have a .com account.I was asked a couple of times to do a verification thing to make sure it was, in fact, me, with a whole load (it went on and on) of stupid questions. Some could only be answered if I was logged in!! The stupidity of them (Skype).Why do they need this if I have my password and my username? Why not just a simple code to my mobile phone?Their agents are totally inept. They took over my computer 4 times and I had to stop them One guy was where he should not have been...on my desktop and hovering over my folder shortcuts!! He actually clicked on one......can you believe?I have spent hours and hours with these useless guys and got nowhere.Yes. I uninstalled maybe 6 times, cleared the cache, etc etc. All to no avail.Funny thing...the App works fine on my Samsung.MS has made a right mess out of Skype and I am looking now for another VOIP provider. I don't need Skype anymore.Good riddence.AVOID at all costs for paid calls.	2017-10-31	1
Worst customer service ever	Worst customer service ever. they lose my credit and make no effort what so ever to help.I hope to never have to use this service again.	2017-10-27	1
Keep the old version of Skype !	Keep the old version of Skype !If you are an happy Android device owner, simply remove skype (the new horrible version) and google to find and download an old version  such as the 7.34.0.114 (119886650) appr. 35.69 Mb in size.	2017-10-16	5
Absolutely HORRIBLE	"Absolutely HORRIBLE! I can not even find the words to vent my frustration with this ""new"" version of skype. I am furious...can anyone suggest a way to video chat that is not this p.o.s?F U microsoft."	2017-10-15	1
they take your money but dont give you …	they take your money but dont give you access to your accountits bad since microsoft took over	2017-10-15	1
A good company	A good company - only one of messenger sites that seem to work for me these days.	2017-10-09	5
Terrible customer service with no actual resolution.	I called customer support to rectify a situation where I've had two existing subscriptions. A 1 month and a 3 month... these should not even co-exist and I don't know how they both existed. Lag time between canceling, switching or somehow they both were created at the same exact time. I usually get 3-4 e-mail confirmations about the same transaction from my e-mail and phone about the transaction so it's easily dismiss-able to WHICH transaction is being taken place.I contacted the customer service, not only where they condescending, they make it entirely your fault despite admitting for having a faulty system at that time and stating that it no longer does that now. I have screenshots of the conversation as it won't let me have a transcript, possibly from the terrible customer service they provide.I asked for a refund and told them that there was a greater issue than just bandaging the current issue at hand. I asked him to cancel all my subscriptions and it became apparently hostile. After I received the cancellation confirmation and told him so, he immediately disconnected, completely unprofessional.If this individual couldn't handle my case or issue, I should have been sent to someone that could either come to a better resolution instead of hanging up immediately. Absolutely terrible.	2017-10-06	1
Everybody uses it, so I use it too	I use it at my office because everybody uses it. But it seems often slow, bloated with useless function, and I'm not quite sure they're following a de-cluttering pattern.	2017-09-28	4
Slight quality problems from time to time but overall a good product	Overall, Skype is a good service. I do have slight connection/quality problems from time to time but for a free service I can't really complain. Their screensharing feature is also a great to have as not only does it work well, the quality is also quite clear.	2017-09-27	4
Not quite as expected	We are using Skype as an office communication tools and it does the job. Unfortunately, it just freezes from time to time and becomes unusable. Also, the update popup is quite annoying.	2017-09-26	2
Skype is a complete piece of garbage to …	Skype is a complete piece of garbage to be avoided at ALLL costs if you value your machines.  It completely takes over your system, causes system errors, random crashes, NO way to un-install the garbage if you were foolish enough to let it infest your computer, you have to completely rebuild your computer.This is the second time I tried to give the microsoft junk a chance, NEVER again!!	2017-09-17	1
Skype rewamp a complete disaster!	The new rewamp of Skype is a complete disaster. Having spent hours trying to use it without getting anywhere, I have now deleted it and using Viber instead. If I could I would give the app less than 0 stars - shame on Microsoft!	2017-09-10	1
My solid old iphone 4s (usable in all …	My solid old iphone 4s (usable in all respects prior to this upgrade) can no longer use Skype. Skype is a messaging platform and there is no reason why a phone such as this cannot run a simple messaging program. Microsoft have simply decided to make a new app and then restrict access to older versions. Have tried the 'zany' new social media makeover on another Android phone and it makes the application rather horrible to use for a traditional user that simply wants to transfer a message. In addition, the installation of the new app turned my status to online, whereas it has always been set to 'invisible' - I am not impressed.  I have decided to transfer my usage to whatsapp, all my phones, desktops, the lot, my whole family. Surprised and annoyed.	2017-09-08	1
Kept calling same number	Opened up window to call a number and typed the number in and dialled it and call went ok. Then deleted number in the box to call a new number. Skype called the old number again. Found out that this is some crazy feature Skype added which is not user friendly and annoying. Instead they tell you to 'close the call window and open it again for every call you want to make'. Sorry Skype you just lost a customer out of embarrassment due to calling someone over and over when another number was displayed. Do your developers actually test their product on simple casual users or are they out to make the skype experience as frustrating as possible nowadays?	2017-09-08	1
Worst Service ever	Worst Service ever, I have been trying to contact skype but no one is responding. Trying to port my number since last 5 five months and its getting rejecting everytime and costing me £15 every time. I would recommend not to use them.	2017-08-29	1
It is by far worst video chat …	It is by far worst video chat application ever made. I have it installed on two Nexus 7 tablets, Nexus 6P phone and two Samsung Galaxy Tab S2 and S3 tablets.  Also valrious PCs (Win 7 and 10) and Mac. Interface is different on each device.  It is hard to explain to older people (my parrents) every time Skype team makes change to interface and they have no clue where to find contacts anymore but Skype offers them tons of different things that are completely useless for most of the people.  I'm done with that  crap. There are better alternatives.  At least Hangouts looks same on all systems including Windows PCs, Macs, tablets and phones.	2017-08-27	1
The average User Experience with Skype	When MSN Messenger was no longer an option, Skype was the best alternative. Since that point, the company really have become far too full of themselves. Bugs are plenty and updates to fix them are few. There are far more issues to condemn Skype than there are to praise it.Here are some frequent issues:1. Pending / Undelivered Text You can be typing away without issue when suddenly your messages are met with a spinning circle pending connection. At this moment, it's common to check if your internet is experiencing issues or perhaps the fault is with your partner (Whomever you're typing to). Commonly, I will send a message to someone else at this point to discover if the fault is on my end or on the other users end. Most, if not all times, I am met with the same issue, that messages sent to anyone from me are pending. I then decide to check my browser and load up websites or videos to ensure I am receiving a connection. The connection is fine, everything else works as intended apart from Skype. This typically lasts anywhere from 1 minute to 5 before the messages will all suddenly send at once.2. Accidental CallsIf you accidentally hit the keys Ctrl+Q, you have hit the short keys to initiate a call within Skype. Typically, this happens when the user has accidentally hit Ctrl rather than Shift. Now, if you call someone and did not mean to, the easiest thing to do is press the cancel call button before the other person answers. However, after having tested this specifically 10 times in a row, both my skype program and the other users skype that receives the call, crashes and stops responding. I tested this multiple times and without fail, every single test, it had the same result of both participants skype not responding.3. Skype on Mobile Skype on mobile is simply not a viable option whatsoever. Regardless of how powerful the hardware your phone sports, Skype will inevitably hit a stand-still and is required to be shut down and reloaded. It starts out fine, being able to type at any speed you're capable of. However, as typing goes on, the keyboard begins to lag and suddenly you're having to slow yourself down to pressing individual letters slowly and steadily while the on-screen keyboard has a chance to catch up.At this point, to prevent it getting worse, you are required to close the app and re-open to refresh. This happens without fail on a regular basis.Conclusion: Skype has many issues that require immediate attention, yet regardless of how many complaints are put online and how many issues are voted highly in the realms of needing fixed, Skype falls silent. We have updates that change the appearance and interface of Skype, giving it a new look and feel, however the same issues from the past persist. If skype wishes to compete with other upcoming services, they really need to begin listening to their user base and not shunning them.Review date: 26th August 2017 Skype version: 7.39.0.102 (most up to date version at the time of this review)	2017-08-26	1
Skype was never good enough	Skype was never good enough, but after the recent update itˋs even worse! The worst update ever.	2017-08-26	1
Cannot get skype to work	Cannot get skype to work.  Cannot get a reply when I ask for a technician.	2017-08-23	1
finally a new upgrade that works with …	finally a new upgrade that works with my mac! love skype!	2017-08-23	5
RIP OFF!! lost all skype credit after being locked out of account	"- When I access skype I get the message ""someone else is using your account"" - After multiple time-consuming attempts, I get a mail telling me to open a new account.- Apparently, all other means to contact skype (live chat etc) involve being logged in.- No I am without account and have lost all the money I still had in skype credits (I paid for!)- I will never use skype again or even think of paying a single cent for that crappy service."	2017-08-19	1
This APP/Site use to be amazing	This APP/Site use to be amazing, but it has turned to absolute rubbish!My poor father, has continual issues when signing in. His password and username, which work when I use them, don't work for him. I have asked him to enter them in front of me, and he has recorded himself doing this. He is not doing anything wrong. It is just a rubbish application! I am switching myself and him to Slack, as it isn't worth the hassle when trying to log in. I WILL NEVER EVER AGAIN RECOMMEND SKYPE. Absolute rubbish!!!Even the call quality and experience is going down.	2017-08-18	1
Why oh why does some idiot somewhere …	Why oh why does some idiot somewhere want to keep messing around with apps and update them for an unsuspecting and I would guess mainly unwanting user base. Microsoft, I am not 15 and I don't want my Skype app to be something a 15-year-old would love to use! Why does your iOS version default to speaker!? Why is it so difficult to navigate? Why does it make the most ridiculous sounds? Go back to how it was.	2017-08-17	1
Awful	Only use it because work makes me. Genuinely awful	2017-08-09	1
The best!	Skype is one of the best things to use if one has friends and family far away! :) Love using it! :)	2017-08-03	5
It works well once you're set up, but setup is a challenge.	This is an edit from an abysmal review I wrote earlier. There are four things I don't like:1) I am very confused about logging on with username or password. If I log on with username, it seems to be an entirely different account, and nothing works.2) It is very difficult to find the links for live help. FAQs don't help much. On the other hand, once you're in a chat with tech help, things go pretty smoothly.3) When you pay for a service, Skype automatically makes it a recurring charge. This is nakedly profit seeking, and should not happen. I'm quite capable of deciding if I want to continue the service or not, thank you.4) The add credit thing is confusing. I wasn't seeing my subscription show up (see issue #1), so I added credit. I hope I can apply that to my subscription rate over the next couple months. Unfortunately, there are a lot of horror stories online about that, so I guess we'll see.	2017-07-28	3
update on android even if auto update …	update on android even if auto update is disablednew version randomly add persons to callworst build ever	2017-07-26	1
used to be good now it's clunky …	used to be good now it's clunky compared to competition	2017-07-26	3
Updates and fixes, but without the fixes.	My Skype experience as a user has been very clunky, and ever since I used it on Windows 10 I encountered numerous problems. The most common one would be the calls randomly dropping out and video calls sometimes freezing. But the worst part about this is that it keeps pestering you with updates. I've been suckered into updating this software on a regular basis, and I always do it in hope that it may remedy the problems I had earlier, but instead nothing's been fixed. In fact I'd say the updates made it worse. Now my video camera won't even respond. It tells me to close down other programs that may be using it (even if Skype is the only program that's cocking open), and the call dropouts are just as annoying as ever.There's no reason for all these updates if they can't even fix the most basic of problems. A Shambles.	2017-07-24	1
Good job microsoft	Good job microsoft, where do I start with these blatant morons? Microsoft give all the companies back their shares or fund them but have NOTHING to do with the development of them you have constantly proved time and time again you are a piece of crap company i'll give you a comparison.Before microsoft stuck their crap fingers into skype.Dropped out rarelygood alternative from msnworked with long callsAfter microsoft.Constantly and randomly drops callquality of video and audio that is unstableCalls bug out of some people for no reasonmy skype stops responding randomlyfor some reason the responding problem disappears if I use the new horrible windows 10 skype (STOP FORCING PEOPLE INTO YOUR SHI**** UPDATES)phone skype is 100 time worse with so many options removed and a snapchat ripoff.If you value any sanity steer clear of skype and use something else until microsoft does us all the favor and leaves.Why change so much skype? for no reason everything was perfect and then you add all these stupid features to play around with? with no options just this is the new update if you don't update you'll suffer so update and then suffer with our ridiculous changes. . . LOOK AT GOOGLE REVIEWS!!!! on phone devices guys stuff the positive ones look how many negatives are all commenting about skypes recent update.	2017-07-24	1
I have used Skype for a few years and …	I have used Skype for a few years and had no major problem until recently.The latest update seems to have made a complete mess of what was a good service. It cuts outs out more than ever, its not clear anymore and the other party cannot see me on there screen. I have tried every possible setting to sort this but to no avail. As my children live a long way from me I rely on this service to keep in contact. Unless this is sorted ill not be renewing my sub with them because of the above.	2017-07-21	1
Am sorry had to give one star	Am sorry had to give one star. Does not deserve it. Absolutely horrendous. Old format great but now competing with social media it has lost it,s place. When my credit is used I will go to Google Hangout.	2017-07-18	1
It ist terrible !	It ist terrible !The layout is confusing, the chat system is messy and try to make a call is an adventure.	2017-07-17	1
suddendly stopped, no advise, no refund on 36€ ! ... what a fck !	Since more than 10 years, I was a convinced skype customer, using them daily and paying them monthly !Yesterday, suddenly my external skype dualphone RTX 4088 stopped working. No calls, no agenda, no nothing.Then I found out that Skype stopped supporting this kind of phones !What ? Why didn't they advise ??Today I had a live chat with them and they just said : our refund policy does not allow us to refund you the 36€ or credit. Bye bye.**** Sorry, but this is absolutely inacceptable !!!!Microsoft everyday is worse !I will not spend my future money on this company !	2017-07-12	1
One of Microsoft's many big mistakes	One of Microsoft's many big mistakes. Yet again trying to catch up with a trend they did not initiate (in this case, youthful social networking) and by doing so, alienating their serious user base (people who just want to call someone on video or phone, not throw emojis or add silly drawings to pics). Incidentally, horrible design and graphics.	2017-07-12	1
Since Microsoft bought Skypê they have …	"Since Microsoft bought Skypê they have SCREWED it. Customer service is now no longer ""normal"" people somewhere in the Baltic states. No, its some indian numpty in a clearing in the jungle who doesnt know jack sh+it. You cant phone, you cant email - only option is chat with the numpty in the jungle who is working from a check list.IT IS THE WORST CUSTOMER SERVICE I HAVE EVER EVER EVER EXPERIENCED.It SUCKS ! ! ! !"	2017-07-11	1
Ghastly	Ghastly. No other word for it.I want a simple streamline service, no gimmicks, trashy colours, fuss and nonsense. Will be looking for an alternative asap.	2017-07-09	1
Useless crap with endless updates	Skype use to be the best... up to 2011-2012! Now is the worst messaging app on the market!Acquired by Microsoft in May 2011 for $8.5 billion... Now it makes sense :)	2017-07-09	1
Does not have any support	"Does not have any support, except the ""community"", even when you are on paid contracts with them. Plus the support site is very slow and often does not work. My voicemail is broken and have not been able to fix it, nor find anyone at Skype who is able to help."	2017-06-26	1
WWW - Worthless Worldwide Waste of your time (and money)	Was great oncee but as mentioned by other reviews around the web, since bought by Microsoft went down rapidly, the amount of adds thrown into anyones bandwith is a noisance, particularly at places where you pay for data volume or with poor internet connection. I wasted my time signing up for their 'Worldwide Unlimited'  calls plan trial. Thanks heavens I went for a trial or I would have wasted my money on a NON-REFUNDABLE worthless plan. I have had it running for 2 days and not a single call completed. Any number gets disconnected as soon it is dialed. Not an internet connection issue, as I can reach the same number immediately after by using another VOIP provider. Worldwide Worthless plan, stay away.	2017-06-16	1
An insult to r-tards everywhere.	What happened to Skype during recent times? Did the sane ones die off? It used to be good and in the last year or so it's gone completely downhill.To summarize: Cut outs in call quality. Absolute ZERO customer service. And worst of all - after an update my mic stopped working properly (both internal and various plug-in devices) and I tried every way to fix it - there is also no way of rolling back and using an older working version of Skype.To make matters worse. Skype web doesn't even work with Firefox browser.I can only say that Microsoft's days must be numbered if this is the way they are heading. To call this companies policies and actions of the last year r-tarded would be an insult to r-tards everywhere.	2017-05-31	1
Best service these days	Best service these days. Got fast replies. I adore skype because it helps me see my family when i want :)	2017-05-31	5
I dont get why Skype has many of such …	I dont get why Skype has many of such negative reviews. The app is still good for talking and I sometimes use it at work and home. Has some issues on connection sometimes but thats quite all drawbacks that I noticed. Everything else is fine.	2017-05-21	4
No customer support on Skype	No customer support on Skype. I can't access any email or phone support to get back into my account when I'm locked out - the on-screen and email prompts tell me I need to log in before I can access support. How unhelpful is that!So I can't use the credit I've paid them, and can't find any way to keep using Skype, unless I create a new account, which is a hassle since I have quite a few contacts who know my Skype address.No good at all. Nil points.	2017-05-16	1
I bought a new number from SKYPE but it …	I bought a new number from SKYPE but it failed to warn me that this new number could not be forwarded to a different number than my existing number is designated to forward to.There is no way of fixing this or getting my money back for the number I just bought so I feel ripped off completely as I had to open a new account then buy another number for exactly the same price as the one that is of no use to me.There is no call centre to ask someone whether they could be reasonable about this so I feel angry and frustrated by this multi-billion dollar company ripping me off.	2017-05-13	1
Horrible customer service	Horrible customer service, no phone number, no options for when you're locked out of your account. Customer service requires you to login to contact them, MY PROBLEM IS THAT I'M LOCKED OUT. Would not repeat.	2017-05-03	1
Amazing for calling on WiFi	Amazing for calling on WiFi. I always use Skype to call to my friends when we'd like to game. I've never bought a credit to call someone, guess I'll use my phone, much cheaper and better, in my eyes credits on Skype are useless. Anyway, you should definitelly use it :).	2017-04-29	5
Skype will take your credits!	Skype will take your credits!If you are inactive for more than 180 days Skype/Microsoft will inactivate the credits on your account. Activating the account again is almost impossible - you have to remember amounts and dates of historic payments, which is impossible after more than 180 days. It is an unacceptable practice. Recommend to only use the free parts of skype.	2017-04-17	1
I paid 240dkk for a year subscription but it does not work	Skype was kind enough to take my mone when I purchased a yearly subscription, but they forgot to give me my product. I cannot call via Skype and there is no Skype support line anywhere where I can get hold of a person who could help. Very frustrating.If Skype is reading this please contact me ASAP. 29/3 update. I have raized the score. I finally got the credit I paid for, and it now seems to work as I wanted it. However I still find it hard to get a real picture over my subscribtions and when they are valid from/to.Filip	2017-03-15	4
